text,subject,sender,reply_to,threat_label,risk_level,source,label_source,is_weak_label,review_status
"Hi team, the weekly project meeting is moved to 10 AM tomorrow. Please review the agenda before joining.","Team meeting update","manager@company.com","manager@company.com","Safe","Low","local_seed","curated","false","seed"
"Your package was delivered successfully. No action is required.","Delivery confirmation","notify@shop.example","notify@shop.example","Safe","Low","local_seed","curated","false","seed"
"Congratulations, you have won a gift card. Click the link now to claim your prize.","Prize claim","promo@unknown-rewards.example","promo@unknown-rewards.example","Spam","Medium","local_seed","curated","false","seed"
"Limited time offer. Buy cheap meds online without prescription.","Cheap medicine offer","sales@meds-online.example","sales@meds-online.example","Spam","Medium","local_seed","curated","false","seed"
"URGENT: Your bank account has been suspended. Verify your password at http://secure-bank-login.xyz/reset within 24 hours.","Account suspended","security@bank-alerts.example","support@secure-bank-login.xyz","Phishing","High","local_seed","curated","false","seed"
"PayPal security alert: confirm your identity at http://paypa1-login.xyz/verify to avoid account lock.","Confirm identity","alerts@paypal-security.example","help@paypa1-login.xyz","Phishing","High","local_seed","curated","false","seed"
"Please open invoice.pdf.exe and enable macros to view the payment details.","Invoice attachment","billing@vendor-example.com","billing@vendor-example.com","Malware Risk","Critical","local_seed","curated","false","seed"
"Download the attached document update.js and disable antivirus if Windows blocks it.","Document update","it-support@external-example.net","it-support@external-example.net","Malware Risk","Critical","local_seed","curated","false","seed"
"Your OTP is required to finish login verification. Reply with your password and security code immediately.","OTP verification","no-reply@identity-check.example","agent@identity-check.example","Credential Theft","Critical","local_seed","curated","false","seed"
"We detected unauthorized login. Send your 2FA code to restore access.","Unauthorized login","security@account-review.example","security@account-review.example","Credential Theft","High","local_seed","curated","false","seed"
"Payment failed for invoice 8842. Transfer funds today to the new bank account listed below.","Payment failed","finance@vendor-payments.example","finance@vendor-payments.example","Payment Scam","High","local_seed","curated","false","seed"
"Scan this QR code to pay the overdue invoice and avoid service suspension.","QR invoice payment","accounts@billing-review.example","accounts@billing-review.example","Payment Scam","High","local_seed","curated","false","seed"
"Scan the attached QR code to verify your mailbox password and keep your email active.","Mailbox QR verification","admin@mailbox-security.example","admin@mailbox-security.example","Quishing","High","local_seed","curated","false","seed"
"Your CEO requests an urgent wire transfer to a new supplier account before close of business.","Urgent wire request","ceo@company-example.com","assistant@external-payments.example","Business Email Compromise","Critical","local_seed","curated","false","seed"
